Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot43,"ImTheRickHere",hard,30,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:26:51","21:26:58",
Bot43,"ImTheRickHere",hard,30,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:27:03","21:27:24",
Bot44,"",hard,17,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","21:26:52","21:26:57",
Bot44,"",hard,17,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","21:27:02","21:27:16",
Bot44,"",hard,17,Failed,"Skyside Hotel","Skyside Hotel: Objective #2","1","21:27:21","21:29:30",
Bot44,"",hard,17,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","21:28:15","21:28:46",
Bot44,"",hard,17,Failed,"Skyside Hotel","Skyside Hotel: Objective #5","1","21:28:51","21:29:30",
Bot46,"Oraceon",normal,4,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:26:54","21:29:46",
Bot46,"Oraceon",normal,4,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:29:51","N/A",
Bot47,"snapple",normal,16,Pending,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:26:55","N/A",
Bot48,"Fontaine",hard,18,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:26:56","21:29:26",
Bot48,"Fontaine",hard,18,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","21:29:31","21:30:45",
Bot48,"Fontaine",hard,18,Pending,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","21:30:50","N/A",
Bot49,"Corty",hard,19,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:26:57","N/A",
Bot50,"iDkGK",normal,35,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","21:26:58","N/A",
Bot51,"agavalda",normal,20,Pending,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:27:00","N/A",
