Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
First in Line,"Zone Sandbox_1_MedicalArea_exploration",1,0,99,"(156.2, 25.5, -83.6)"
Shooting Cans,"Zone Sandbox_2_Kord_exploration",1,0,99,"(56.6, 31.0, 130.6)"
Shooting Cans,"Zone Sandbox_2_AGS_exploration",1,0,99,"(101.0, 32.8, 276.4)"
Luxurious Life,"Zone Sandbox_3_Vino_exploration",1,1,9,"(116.8, 23.1, 27.2)"
Luxurious Life,"Item Bottle of Le Jean wine",1,1,9,"(129.8, 22.9, 23.7)"
Saving the Mole,"Zone Sandbox_5_DeadGroup_exploration",1,0,99,"(-21.0, 23.9, -25.1)"
Saving the Mole,"Zone Sandbox_5_Laborant_exploration",1,0,99,"(-60.5, 28.5, 27.4)"
Saving the Mole,"Zone Sandbox_5_Office_exploration",1,0,99,"(-13.5, 29.7, 51.3)"
Saving the Mole,"Item TerraGroup scientist's hard drive",1,0,99,"(-11.7, 29.7, 47.8)"
Spawn Point Wander,"Spawn Point (183.0 16.2 127.6)",1,0,99,"(183.0, 16.2, 127.6)"
Spawn Point Wander,"Spawn Point (72.8 14.2 5.4)",1,0,99,"(72.8, 14.2, 5.4)"
Spawn Point Wander,"Spawn Point (65.0 14.7 161.7)",1,0,99,"(65.0, 14.7, 161.7)"
Spawn Point Wander,"Spawn Point (-10.6 24.0 22.9)",1,0,99,"(-10.6, 24.0, 22.9)"
Spawn Point Wander,"Spawn Point (127.2 23.2 187.9)",1,0,99,"(127.2, 23.2, 187.9)"
Spawn Point Wander,"Spawn Point (67.6 14.2 104.5)",1,0,99,"(67.6, 14.2, 104.5)"
Spawn Point Wander,"Spawn Point (137.4 22.7 -70.2)",1,0,99,"(137.4, 22.7, -70.2)"
Spawn Point Wander,"Spawn Point (121.8 22.8 -1.1)",1,0,99,"(121.8, 22.8, -1.1)"
Spawn Point Wander,"Spawn Point (111.2 23.2 174.5)",1,0,99,"(111.2, 23.2, 174.5)"
Spawn Point Wander,"Spawn Point (71.8 14.1 0.7)",1,0,99,"(71.8, 14.1, 0.7)"
Spawn Point Wander,"Spawn Point (180.9 16.3 114.9)",1,0,99,"(180.9, 16.3, 114.9)"
Spawn Point Wander,"Spawn Point (185.0 17.2 -8.6)",1,0,99,"(185.0, 17.2, -8.6)"
Spawn Point Wander,"Spawn Point (117.1 29.0 150.7)",1,0,99,"(117.1, 29.0, 150.7)"
Spawn Point Wander,"Spawn Point (38.4 23.4 149.1)",1,0,99,"(38.4, 23.4, 149.1)"
Spawn Point Wander,"Spawn Point (143.1 23.3 248.8)",1,0,99,"(143.1, 23.3, 248.8)"
Spawn Point Wander,"Spawn Point (-10.8 24.0 16.7)",1,0,99,"(-10.8, 24.0, 16.7)"
Spawn Point Wander,"Spawn Point (109.1 22.7 234.2)",1,0,99,"(109.1, 22.7, 234.2)"
Spawn Point Wander,"Spawn Point (110.7 23.2 171.3)",1,0,99,"(110.7, 23.2, 171.3)"
Spawn Point Wander,"Spawn Point (-8.0 23.9 -5.0)",1,0,99,"(-8.0, 23.9, -5.0)"
Spawn Point Wander,"Spawn Point (172.2 17.0 9.4)",1,0,99,"(172.2, 17.0, 9.4)"
Spawn Point Wander,"Spawn Point (1.4 23.9 -60.4)",1,0,99,"(1.4, 23.9, -60.4)"
Spawn Point Wander,"Spawn Point (57.7 23.4 226.7)",1,0,99,"(57.7, 23.4, 226.7)"
Spawn Point Wander,"Spawn Point (112.7 23.2 175.8)",1,0,99,"(112.7, 23.2, 175.8)"
Spawn Point Wander,"Spawn Point (13.4 23.5 157.6)",1,0,99,"(13.4, 23.5, 157.6)"
Spawn Point Wander,"Spawn Point (73.7 14.1 117.0)",1,0,99,"(73.7, 14.1, 117.0)"
Spawn Point Wander,"Spawn Point (67.8 14.0 163.1)",1,0,99,"(67.8, 14.0, 163.1)"
Spawn Point Wander,"Spawn Point (-0.7 23.9 -60.4)",1,0,99,"(-0.7, 23.9, -60.4)"
Spawn Point Wander,"Spawn Point (73.1 14.2 2.3)",1,0,99,"(73.1, 14.2, 2.3)"
Spawn Point Wander,"Spawn Point (73.1 14.1 -56.5)",1,0,99,"(73.1, 14.1, -56.5)"
Spawn Point Wander,"Spawn Point (64.9 14.1 103.3)",1,0,99,"(64.9, 14.1, 103.3)"
Spawn Point Wander,"Spawn Point (139.3 14.1 65.6)",1,0,99,"(139.3, 14.1, 65.6)"
Spawn Point Wander,"Spawn Point (74.7 14.0 160.9)",1,0,99,"(74.7, 14.0, 160.9)"
Spawn Point Wander,"Spawn Point (37.0 23.5 147.0)",1,0,99,"(37.0, 23.5, 147.0)"
Spawn Point Wander,"Spawn Point (32.8 22.7 335.7)",1,0,99,"(32.8, 22.7, 335.7)"
Spawn Point Wander,"Spawn Point (73.9 14.1 37.2)",1,0,99,"(73.9, 14.1, 37.2)"
Spawn Point Wander,"Spawn Point (127.5 23.2 196.1)",1,0,99,"(127.5, 23.2, 196.1)"
Spawn Point Wander,"Spawn Point (-6.3 23.9 -2.0)",1,0,99,"(-6.3, 23.9, -2.0)"
Spawn Point Wander,"Spawn Point (137.6 14.1 61.8)",1,0,99,"(137.6, 14.1, 61.8)"
Spawn Point Wander,"Spawn Point (163.6 22.8 -88.2)",1,0,99,"(163.6, 22.8, -88.2)"
Spawn Point Wander,"Spawn Point (127.3 23.2 186.0)",1,0,99,"(127.3, 23.2, 186.0)"
Spawn Point Wander,"Spawn Point (44.7 23.3 -102.6)",1,0,99,"(44.7, 23.3, -102.6)"
Spawn Point Wander,"Spawn Point (17.1 24.2 73.4)",1,0,99,"(17.1, 24.2, 73.4)"
Spawn Point Wander,"Spawn Point (114.0 23.4 270.0)",1,0,99,"(114.0, 23.4, 270.0)"
Spawn Point Wander,"Spawn Point (75.1 14.2 6.0)",1,0,99,"(75.1, 14.2, 6.0)"
Spawn Point Wander,"Spawn Point (102.2 28.1 311.8)",1,0,99,"(102.2, 28.1, 311.8)"
Spawn Point Wander,"Spawn Point (117.6 29.0 146.4)",1,0,99,"(117.6, 29.0, 146.4)"
Spawn Point Wander,"Spawn Point (40.2 23.5 148.6)",1,0,99,"(40.2, 23.5, 148.6)"
Spawn Point Wander,"Spawn Point (73.8 14.1 -54.4)",1,0,99,"(73.8, 14.1, -54.4)"
Spawn Point Wander,"Spawn Point (57.5 14.1 -33.8)",1,0,99,"(57.5, 14.1, -33.8)"
Spawn Point Wander,"Spawn Point (117.5 29.0 148.6)",1,0,99,"(117.5, 29.0, 148.6)"
Spawn Point Wander,"Spawn Point (72.3 14.1 -51.7)",1,0,99,"(72.3, 14.1, -51.7)"
Spawn Point Wander,"Spawn Point (137.2 14.1 67.4)",1,0,99,"(137.2, 14.1, 67.4)"
Spawn Point Wander,"Spawn Point (112.2 22.7 220.9)",1,0,99,"(112.2, 22.7, 220.9)"
Spawn Point Wander,"Spawn Point (131.0 23.5 268.8)",1,0,99,"(131.0, 23.5, 268.8)"
Spawn Point Wander,"Spawn Point (180.8 16.2 117.5)",1,0,99,"(180.8, 16.2, 117.5)"
Spawn Point Wander,"Spawn Point (46.4 23.3 -101.5)",1,0,99,"(46.4, 23.3, -101.5)"
Spawn Point Wander,"Spawn Point (64.4 14.7 164.4)",1,0,99,"(64.4, 14.7, 164.4)"
Spawn Point Wander,"Spawn Point (151.5 22.9 243.4)",1,0,99,"(151.5, 22.9, 243.4)"
Spawn Point Wander,"Spawn Point (180.6 16.2 123.2)",1,0,99,"(180.6, 16.2, 123.2)"
Spawn Point Wander,"Spawn Point (22.3 23.5 255.1)",1,0,99,"(22.3, 23.5, 255.1)"
Spawn Point Wander,"Spawn Point (-4.5 23.9 -58.9)",1,0,99,"(-4.5, 23.9, -58.9)"
Spawn Point Wander,"Spawn Point (-15.6 23.9 101.7)",1,0,99,"(-15.6, 23.9, 101.7)"
Spawn Point Wander,"Spawn Point (113.3 23.4 273.2)",1,0,99,"(113.3, 23.4, 273.2)"
Spawn Point Wander,"Spawn Point (137.6 14.1 63.1)",1,0,99,"(137.6, 14.1, 63.1)"
Spawn Point Wander,"Spawn Point (73.6 14.1 -48.8)",1,0,99,"(73.6, 14.1, -48.8)"
Spawn Point Wander,"Spawn Point (74.3 14.1 -51.6)",1,0,99,"(74.3, 14.1, -51.6)"
Spawn Point Wander,"Spawn Point (135.2 14.1 66.1)",1,0,99,"(135.2, 14.1, 66.1)"
Spawn Point Wander,"Spawn Point (117.8 29.0 152.7)",1,0,99,"(117.8, 29.0, 152.7)"
Spawn Point Wander,"Spawn Point (143.8 22.7 -71.4)",1,0,99,"(143.8, 22.7, -71.4)"
Spawn Point Wander,"Spawn Point (133.7 23.5 268.6)",1,0,99,"(133.7, 23.5, 268.6)"
Spawn Point Wander,"Spawn Point (121.5 22.8 -2.8)",1,0,99,"(121.5, 22.8, -2.8)"
Spawn Point Wander,"Spawn Point (115.8 23.4 274.3)",1,0,99,"(115.8, 23.4, 274.3)"
Spawn Point Wander,"Spawn Point (133.4 14.1 66.4)",1,0,99,"(133.4, 14.1, 66.4)"
Spawn Point Wander,"Spawn Point (176.3 17.0 10.2)",1,0,99,"(176.3, 17.0, 10.2)"
Spawn Point Wander,"Spawn Point (17.0 24.2 66.8)",1,0,99,"(17.0, 24.2, 66.8)"
Spawn Point Wander,"Spawn Point (132.1 23.5 270.3)",1,0,99,"(132.1, 23.5, 270.3)"
Spawn Point Wander,"Spawn Point (71.9 14.1 -13.1)",1,0,99,"(71.9, 14.1, -13.1)"
Spawn Point Wander,"Spawn Point (111.8 23.4 269.1)",1,0,99,"(111.8, 23.4, 269.1)"
Spawn Point Wander,"Spawn Point (143.3 22.7 -69.4)",1,0,99,"(143.3, 22.7, -69.4)"
Spawn Point Wander,"Spawn Point (55.3 14.1 -32.4)",1,0,99,"(55.3, 14.1, -32.4)"
Spawn Point Wander,"Spawn Point (46.6 23.3 -102.1)",1,0,99,"(46.6, 23.3, -102.1)"
Spawn Point Wander,"Spawn Point (26.1 23.9 -24.0)",1,0,99,"(26.1, 23.9, -24.0)"
Spawn Point Wander,"Spawn Point (11.5 23.5 156.3)",1,0,99,"(11.5, 23.5, 156.3)"
Spawn Point Wander,"Spawn Point (162.3 22.8 -86.2)",1,0,99,"(162.3, 22.8, -86.2)"
Spawn Point Wander,"Spawn Point (26.6 23.9 -27.0)",1,0,99,"(26.6, 23.9, -27.0)"
Spawn Point Wander,"Spawn Point (111.5 23.4 271.6)",1,0,99,"(111.5, 23.4, 271.6)"
Spawn Point Wander,"Spawn Point (179.9 17.0 -7.0)",1,0,99,"(179.9, 17.0, -7.0)"
Spawn Point Wander,"Spawn Point (99.6 28.1 314.2)",1,0,99,"(99.6, 28.1, 314.2)"
Spawn Point Wander,"Spawn Point (134.0 23.5 271.9)",1,0,99,"(134.0, 23.5, 271.9)"
Spawn Point Wander,"Spawn Point (97.0 22.9 -86.9)",1,0,99,"(97.0, 22.9, -86.9)"
Spawn Point Wander,"Spawn Point (11.2 23.5 159.0)",1,0,99,"(11.2, 23.5, 159.0)"
Spawn Point Wander,"Spawn Point (145.0 22.9 253.3)",1,0,99,"(145.0, 22.9, 253.3)"
Spawn Point Wander,"Spawn Point (109.2 23.2 174.2)",1,0,99,"(109.2, 23.2, 174.2)"
Spawn Point Wander,"Spawn Point (183.8 17.2 -6.9)",1,0,99,"(183.8, 17.2, -6.9)"
Spawn Point Wander,"Spawn Point (-15.5 23.8 -56.6)",1,0,99,"(-15.5, 23.8, -56.6)"
Spawn Point Wander,"Spawn Point (36.1 22.7 334.7)",1,0,99,"(36.1, 22.7, 334.7)"
Spawn Point Wander,"Spawn Point (9.0 23.5 158.4)",1,0,99,"(9.0, 23.5, 158.4)"
Spawn Point Wander,"Spawn Point (147.7 23.3 253.6)",1,0,99,"(147.7, 23.3, 253.6)"
Spawn Point Wander,"Spawn Point (119.2 22.8 -2.7)",1,0,99,"(119.2, 22.8, -2.7)"
Spawn Point Wander,"Spawn Point (142.9 22.7 -67.6)",1,0,99,"(142.9, 22.7, -67.6)"
Spawn Point Wander,"Spawn Point (57.2 14.1 -31.2)",1,0,99,"(57.2, 14.1, -31.2)"
Spawn Point Wander,"Spawn Point (135.9 14.1 68.9)",1,0,99,"(135.9, 14.1, 68.9)"
Spawn Point Wander,"Spawn Point (117.4 29.0 154.5)",1,0,99,"(117.4, 29.0, 154.5)"
Spawn Point Wander,"Spawn Point (-8.4 23.9 -0.4)",1,0,99,"(-8.4, 23.9, -0.4)"
Spawn Point Wander,"Spawn Point (29.9 23.9 -25.2)",1,0,99,"(29.9, 23.9, -25.2)"
Spawn Point Wander,"Spawn Point (67.7 14.0 164.6)",1,0,99,"(67.7, 14.0, 164.6)"
Spawn Point Wander,"Spawn Point (-11.2 23.9 -2.8)",1,0,99,"(-11.2, 23.9, -2.8)"
