Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"冰淇淋",normal,26,Failed,"Revision - Streets of Tarkov","Zone quest_zone_place_c14_revx_2","1","20:48:13","20:48:16",
Bot2,"冰淇淋",normal,26,Pending,"Revision - Streets of Tarkov","Zone quest_zone_place_c14_revx_1","1","20:48:21","N/A",
Bot2,"冰淇淋",normal,26,Pending,"Revision - Streets of Tarkov","Zone quest_zone_place_c14_revx_3","1","20:52:50","N/A",
Bot2,"冰淇淋",normal,26,Pending,"Gendarmerie - Tickets Please","Zone quest_zone_kill_cinema","1","20:53:53","N/A",
Bot2,"冰淇淋",normal,26,Failed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","20:54:46","20:56:09",
Bot2,"冰淇淋",normal,26,Completed,"Audit","Item Accountant's notes","1","20:56:14","20:59:31",
Bot2,"冰淇淋",normal,26,Completed,"Finance Building","Finance Building: Objective #3","1","20:59:36","20:59:39",
Bot2,"冰淇淋",normal,26,Failed,"Finance Building","Finance Building: Objective #4","1","20:59:44","20:59:59",
Bot2,"冰淇淋",normal,26,Failed,"Finance Building","Finance Building: Objective #1","1","21:00:04","21:00:06",
Bot2,"冰淇淋",normal,26,Completed,"Finance Building","Finance Building: Objective #2","1","21:00:11","21:00:27",
Bot2,"冰淇淋",normal,26,Failed,"Dostoevsky Restaurant","Dostoevsky Restaurant: Objective #2","1","21:00:32","21:00:57",
Bot2,"冰淇淋",normal,26,Failed,"Dostoevsky Restaurant","Dostoevsky Restaurant: Objective #1","1","21:01:02","21:01:27",
Bot2,"冰淇淋",normal,26,Pending,"Dostoevsky Restaurant","Dostoevsky Restaurant: Objective #3","1","21:01:32","N/A",
Bot2,"冰淇淋",normal,26,Completed,"Developer's Secrets - Part 2","Zone Hookah_quest","1","21:02:02","21:03:21",
Bot2,"冰淇淋",normal,26,Active,"Watching You","Item Flash drive with recordings","1","21:03:26","N/A",
Bot6,"jiblet",hard,13,Completed,"Pinewood Hotel Main Entrance","Pinewood Hotel Main Entrance: Objective #3","1","20:48:15","20:48:18",
Bot6,"jiblet",hard,13,Completed,"Pinewood Hotel Main Entrance","Pinewood Hotel Main Entrance: Objective #2","1","20:48:23","20:52:00",
Bot6,"jiblet",hard,13,Failed,"Pinewood Hotel Main Entrance","Pinewood Hotel Main Entrance: Objective #1","1","20:52:05","20:56:20",
Bot6,"jiblet",hard,13,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","20:52:25","20:56:05",
Bot6,"jiblet",hard,13,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #3","1","20:56:10","20:56:10",
Bot6,"jiblet",hard,13,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #8","1","20:56:15","20:56:20",
Bot7,"OutsiderH",hard,22,Failed,"You've Got Mail","Item Registered letter","1","20:48:15","20:51:01",
Bot10,"Crow",normal,26,Completed,"Broadcast - Part 2","Zone quest_zone_c25_cinem","1","20:48:15","20:50:36",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #3","1","20:50:42","20:52:18",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #1","1","20:52:23","20:52:54",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #2","1","20:52:59","20:53:20",
Bot10,"Crow",normal,26,Failed,"Construction","Construction: Objective #10","1","20:53:25","20:54:39",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #7","1","20:54:44","20:54:50",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #8","1","20:54:55","20:55:24",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #5","1","20:55:29","20:55:44",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #9","1","20:55:49","20:56:08",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #6","1","20:56:14","20:56:39",
Bot10,"Crow",normal,26,Completed,"Construction","Construction: Objective #4","1","20:56:44","21:00:49",
Bot10,"Crow",normal,26,Completed,"Road Closed","Zone quest_zone_c16_koll_2","1","21:00:54","21:02:43",
Bot10,"Crow",normal,26,Failed,"Road Closed","Zone quest_zone_c16_koll_1","1","21:02:48","21:04:55",
Bot11,"Spock",normal,20,Active,"Road Closed","Zone quest_zone_c16_koll_2","1","20:48:15","N/A",
Bot15,"Sazukiwi",hard,18,Failed,"Ambulances Again","Item Paramedic's GPhone X","1","20:48:16","21:08:18",
Bot12,"lukewarmpudding",hard,28,Completed,"Developer's Secrets - Part 1","Zone Office_enter","1","20:48:16","20:49:13",
Bot12,"lukewarmpudding",hard,28,Failed,"Developer's Secrets - Part 1","Zone Office_quest","1","20:49:18","20:49:38",
Bot12,"lukewarmpudding",hard,28,Failed,"Glory to CPSU - Part 1","Zone quest_zone_c6_kpss","1","20:49:43","20:49:46",
Bot12,"lukewarmpudding",hard,28,Failed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent2","1","20:49:51","20:49:56",
Bot12,"lukewarmpudding",hard,28,Failed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent1","1","20:50:01","20:50:15",
Bot12,"lukewarmpudding",hard,28,Failed,"Broadcast - Part 5","Zone quest_zone_find_2st_mech","1","20:50:20","20:50:28",
Bot12,"lukewarmpudding",hard,28,Failed,"Broadcast - Part 5","Zone quest_zone_hide_2st_mech","1","20:50:33","20:50:37",
Bot12,"lukewarmpudding",hard,28,Failed,"You've Got Mail","Item Registered letter","1","20:50:42","20:50:53",
Bot12,"lukewarmpudding",hard,28,Failed,"Ambulances Again","Item Paramedic's GPhone X","1","20:50:58","20:50:58",
Bot13,"mighty_condor",hard,24,Pending,"The Door","Zone quest_zone_hide_sillent2","1","20:48:16","N/A",
Bot14,"OutsiderH",hard,25,Pending,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent1","1","20:48:16","N/A",
Bot38,"Петр Вроттердам (ShadowXtrex)",normal,1,Failed,"IT Firm Office","IT Firm Office: Objective #2","1","21:07:06","21:07:24",
Bot38,"Петр Вроттердам (ShadowXtrex)",normal,1,Failed,"IT Firm Office","IT Firm Office: Objective #1","1","21:07:30","21:07:38",
Bot38,"Петр Вроттердам (ShadowXtrex)",normal,1,Failed,"IT Firm Office","IT Firm Office: Objective #3","1","21:07:43","21:07:44",
Bot38,"Петр Вроттердам (ShadowXtrex)",normal,1,Failed,"IT Firm Office","IT Firm Office: Objective #4","1","21:07:50","21:08:44",
Bot38,"Петр Вроттердам (ShadowXtrex)",normal,1,Failed,"IT Firm Office","IT Firm Office: Objective #5","1","21:08:49","21:08:53",
Bot38,"Петр Вроттердам (ShadowXtrex)",normal,1,Failed,"IT Firm Office","IT Firm Office: Objective #6","1","21:08:58","21:09:21",
Bot41,"Коля Мальчик (TGDelta2455)",normal,1,Active,"Lexos South Entry","Lexos South Entry: Objective #1","1","21:09:12","N/A",
