Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Doddsy",normal,27,Failed,"Bullshit","Item Flash drive with fake info","1","11:31:31","11:32:09",
Bot1,"Doddsy",normal,27,Failed,"Bullshit","Zone Q019_3","1","11:32:14","11:35:09",
Bot4,"Refringe",hard,19,Failed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","11:31:32","11:34:48",
Bot3,"captainfoam",hard,2,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","11:31:32","11:32:10",
Bot10,"GeorgRavioli",easy,19,Failed,"Pharmacist","Item Carbon case","1","11:31:32","11:35:52",
Bot6,"Waffle",easy,26,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","11:31:32","11:37:28",
Bot6,"Waffle",easy,26,Failed,"Farming - Part 3","Item Package of graphics cards","1","11:37:33","11:37:35",
Bot5,"bandit",easy,35,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","11:31:32","11:31:59",
Bot5,"bandit",easy,35,Failed,"Bullshit","Item Flash drive with fake info","1","11:32:04","11:37:18",
Bot9,"Ratthew",easy,3,Completed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","11:31:32","11:31:58",
Bot9,"Ratthew",easy,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","11:32:03","11:32:36",
Bot9,"Ratthew",easy,3,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","11:32:42","11:33:01",
Bot9,"Ratthew",easy,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","11:33:06","11:33:20",
Bot9,"Ratthew",easy,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","11:33:25","11:33:39",
Bot9,"Ratthew",easy,3,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","11:33:44","11:34:33",
Bot26,"ShadowXtrex",hard,23,Failed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","11:32:23","12:02:05",
Bot26,"ShadowXtrex",hard,23,Failed,"Big Red","Big Red: Objective #2","1","12:02:10","12:02:10",
Bot26,"ShadowXtrex",hard,23,Failed,"Big Red","Big Red: Objective #3","1","12:02:16","12:02:16",
Bot26,"ShadowXtrex",hard,23,Failed,"Big Red","Big Red: Objective #5","1","12:02:21","12:02:21",
Bot26,"ShadowXtrex",hard,23,Failed,"Big Red","Big Red: Objective #1","1","12:02:26","12:02:26",
Bot26,"ShadowXtrex",hard,23,Failed,"Big Red","Big Red: Objective #4","1","12:02:31","12:02:31",
Bot26,"ShadowXtrex",hard,23,Failed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","12:02:36","12:02:38",
Bot26,"ShadowXtrex",hard,23,Failed,"Trailer Park Cabin","Trailer Park Cabin: Objective #1","1","12:02:43","12:02:43",
Bot25,"NastyInc",hard,18,Completed,"Boss Hunter","Spawn Point (-311.9 1.0 -125.0)","1","11:32:23","11:33:55",
Bot25,"NastyInc",hard,18,Completed,"Boss Hunter","Spawn Point (-333.8 -0.4 -84.5)","1","11:34:00","11:41:35",
Bot25,"NastyInc",hard,18,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","11:41:41","11:43:07",
Bot25,"NastyInc",hard,18,Completed,"Farming - Part 3","Item Package of graphics cards","1","11:43:12","11:44:14",
Bot25,"NastyInc",hard,18,Archived,"Big Red","Big Red: Objective #5","1","11:44:19","11:44:28",
Bot25,"NastyInc",hard,18,Archived,"Big Red","Big Red: Objective #4","1","11:44:33","11:47:20",
Bot25,"NastyInc",hard,18,Archived,"Big Red","Big Red: Objective #1","1","11:47:25","11:47:54",
Bot25,"NastyInc",hard,18,Archived,"Big Red","Big Red: Objective #3","1","11:47:59","11:48:39",
Bot25,"NastyInc",hard,18,Archived,"Big Red","Big Red: Objective #2","1","11:48:44","11:49:09",
Bot25,"NastyInc",hard,18,Completed,"Storage","Storage: Objective #2","1","11:49:15","11:50:26",
Bot25,"NastyInc",hard,18,Completed,"Storage","Storage: Objective #3","1","11:50:31","11:50:50",
Bot25,"NastyInc",hard,18,Pending,"Storage","Storage: Objective #4","1","11:50:55","N/A",
Bot25,"NastyInc",hard,18,Completed,"Storage","Storage: Objective #5","1","11:51:52","11:52:17",
Bot25,"NastyInc",hard,18,Completed,"Storage","Storage: Objective #7","1","11:52:22","11:52:59",
